Mã PNR,Hành Khách,Ngày Đặt,Chuyến Bay,Tuyến Bay,Số Ghế,Thanh Toán,Trạng Thái,Giá
JJ0001,LÊ VĂN QUÂN,14 Jun 2026,JJ018,HAN-DAD,6A,ĐÃ TRẢ,THÀNH CÔNG,$130
JJ0002,LÊ VĂN QUÂN,14 Jun 2026,JJ018,HAN-DAD,6B,ĐÃ TRẢ,THÀNH CÔNG,$130
JJXL92,Lê Văn Quân,01 Jun 2026,JJ121,SGN→HAN,12A,ĐÃ TRẢ,THÀNH CÔNG,$120
JJAS21,Nguyễn Thị Thu Hà,31 May 2026,JJ342,HAN→DAD,04C,CHỜ TRẢ,ĐANG XỬ LÝ,$85
JJPQ88,Trần Minh Khoa,30 May 2026,JJ551,SGN→PQC,22F,ĐÃ TRẢ,THÀNH CÔNG,$195
JJKM14,Hoàng Đức Thắng,29 May 2026,JJ207,DAD→HAN,08B,CHỜ TRẢ,ĐANG XỬ LÝ,$110
JJRR77,Phạm Thị Lan Anh,28 May 2026,JJ890,HAN→SGN,31E,ĐÃ TRẢ,THÀNH CÔNG,$75
JJVB03,Vũ Thị Mỹ Linh,27 May 2026,JJ412,SGN→CXR,05A,ĐÃ TRẢ,THÀNH CÔNG,$65
JJDB55,Đặng Quốc Bảo,26 May 2026,JJ203,HAN→SGN,1A,ĐÃ TRẢ,THÀNH CÔNG,$340
JJHN29,Bùi Thị Hồng Nhung,25 May 2026,JJ631,SGN→HAN,18D,ĐÃ HUỶ,ĐÃ HUỶ,$98
JJLT66,Lý Thành Trung,24 May 2026,JJ750,HAN→PQC,11C,ĐÃ TRẢ,THÀNH CÔNG,$155
JJNB41,Ngô Thị Bích Phượng,23 May 2026,JJ319,DAD→SGN,27B,CHỜ TRẢ,ĐANG XỬ LÝ,$72
JJDH88,Đinh Văn Hùng,22 May 2026,JJ481,SGN→DAD,03F,ĐÃ TRẢ,THÀNH CÔNG,$88
JJPL17,Phan Thị Diệu Linh,21 May 2026,JJ222,HAN→CXR,14D,ĐÃ TRẢ,THÀNH CÔNG,$115
JJMK39,Trần Minh Khoa,20 May 2026,JJ509,SGN→HAN,2C,ĐÃ TRẢ,THÀNH CÔNG,$285
JJTH10,Nguyễn Thị Thu Hà,18 May 2026,JJ171,HAN→DAD,09A,ĐÃ HUỶ,ĐÃ HUỶ,$90
JJLQ55,Lê Văn Quân,15 May 2026,JJ202,SGN→HAN,16B,ĐÃ TRẢ,THÀNH CÔNG,$120
JJHD72,Hoàng Đức Thắng,12 May 2026,JJ915,HAN→SGN,07E,CHỜ TRẢ,ĐANG XỬ LÝ,$130
